skill_id,skill_description,prerequisite_skills,problem_1,problem_2,misconceptions
"MA.6.NSO.1.1","""Extend previous understanding of numbers to define rational numbers. Plot, order and compare rational numbers.""","",,,
"MA.6.NSO.1.2","""Given a mathematical or real-world context, represent quantities that have opposite direction using rational numbers. Compare them on a number line and explain the meaning of zero within its context.""","MA.6.NSO.1.1",,,
"MA.6.NSO.1.3","""Given a mathematical or real-world context, interpret the absolute value of a number as the distance from zero on a number line. Find the absolute value of rational numbers.""","MA.6.NSO.1.2",,,
"MA.6.NSO.1.4","""Solve mathematical and real-world problems involving absolute value, including the comparison of absolute value.""","MA.6.NSO.1.3",,,
"MA.6.NSO.2.1","""Multiply and divide positive multi-digit numbers with decimals to the thousandths, including using a standard algorithm with procedural fluency.""","",,,
"MA.6.NSO.2.2","""Extend previous understanding of multiplication and division to compute products and quotients of positive fractions by positive fractions, including mixed numbers, with procedural fluency.""","",,,
"MA.6.NSO.2.3","""Solve multi-step real-world problems involving any of the four operations with positive multi-digit decimals or positive fractions, including mixed numbers.""","",,,
"MA.6.NSO.3.1","""Given a mathematical or real-world context, find the greatest common factor and least common multiple of two whole numbers.""","",,,
"MA.6.NSO.3.2","""Rewrite the sum of two composite whole numbers having a common factor, as a common factor multiplied by the sum of two whole numbers.""","MA.6.NSO.3.1",,,
"MA.6.NSO.3.3","""Evaluate positive rational numbers and integers with natural number exponents.""","MA.6.NSO.2.1, MA.6.NSO.2.2, MA.6.NSO.4.2",,,
"MA.6.NSO.3.4","""Express composite whole numbers as a product of prime factors with natural number exponents.""","MA.6.NSO.3.1, MA.6.NSO.3.2, MA.6.NSO.3.3",,,
"MA.6.NSO.3.5","""Rewrite positive rational numbers in different but equivalent forms including fractions, terminating decimals and percentages.""","MA.6.NSO.1.1",,,
"MA.6.NSO.4.1","""Apply and extend previous understandings of operations with whole numbers to add and subtract integers with procedural fluency.""","MA.6.NSO.1.1, MA.6.NSO.1.2, MA.6.NSO.1.3, MA.6.NSO.1.4",,,
"MA.6.NSO.4.2","""Apply and extend previous understandings of operations with whole numbers to multiply and divide integers with procedural fluency.""","MA.6.NSO.1.1, MA.6.NSO.1.2, MA.6.NSO.1.3, MA.6.NSO.1.4",,,
